"","V1","Link","Title","Authors","Contributors","ISBN.UID","Format","Read.Status","Date.Added","Last.Date.Read","Dates.Read","Read.Count","Moods","Pace","Character..or.Plot.Driven.","Strong.Character.Development.","Loveable.Characters.","Diverse.Characters.","Flawed.Characters.","Star.Rating","Review","Content.Warnings","Content.Warning.Description","Tags","Owned.","Description","FRE","adventurous","challenging","dark","emotional","funny","hopeful","informative","inspiring","lighthearted","mysterious","reflective","relaxing","sad","tense","recc"
"179",228,"https://app.thestorygraph.com/books/65a95185-7a1a-4347-a125-67d2dfb8f9eb","Forget Me Not","Alyson Derrick","","9.78E+12","hardcover","read","7/29/2023","7/29/2023","2023/07/28-2023/07/29",1,"challenging, emotional, hopeful, reflective","medium","Character","Yes","Yes","Yes","Yes",3.75,"","",NA,NA,"No","Perfect for fans of Eternal Sunshine of the Spotless Mind and Five Feet Apart, this tender solo debut by the coauthor of New York Times bestseller She Gets the Girl is a romantic ode to the strength of love and the power of choosing each other, against odds and obstacles, again and again.What would you do if you forgot the love of your life ever even existed?&nbsp;Stevie and Nora had a love. A secret, epic, once-in-a-lifetime kind of love. They also had a plan: to leave their small, ultra-conservative town and families behind after graduation and move to California, where they could finally stop hiding that love.&nbsp;&nbsp;But then Stevie has a terrible fall. And when she comes to, she can remember nothing of the last two years—not California, not coming to terms with her sexuality, not even Nora. Suddenly, Stevie finds herself in a life she doesn’t quite understand, one where she’s estranged from her parents, drifting away from her friends, lying about the hours she works, dating a boy she can’t remember crushing on, and headed towards a future that isn’t at all what her fifteen-year-old self would have envisioned.&nbsp;&nbsp;And Nora finds herself…forgotten. Can the two beat the odds a second time and find their way back together when “together” itself is just a lost memory?",43.19,0,1,0,1,0,1,0,0,0,0,1,0,0,0,"Yes"
"228",286,"https://app.thestorygraph.com/books/7b42eb9b-da97-43af-a143-e1c4b8254728","The Adventures of Amina Al-Sirafi","S.A. Chakraborty","","9.78E+12","hardcover","read","3/10/2023","3/13/2023","2023/03/09-2023/03/13",1,"adventurous, emotional, mysterious, tense","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"No","Amina al-Sirafi should be content. After a storied and scandalous career as one of the Indian Ocean’s most notorious pirates, she’s survived backstabbing rogues, vengeful merchant princes, several husbands, and one actual demon to retire peacefully with her family to a life of piety, motherhood, and absolutely nothing that hints of the supernatural.But when she’s tracked down by the obscenely wealthy mother of a former crewman, she’s offered a job no bandit could refuse: retrieve her comrade’s kidnapped daughter for a kingly sum. The chance to have one last adventure with her crew, do right by an old friend, and win a fortune that will secure her family’s future forever? It seems like such an obvious choice that it must be God’s will.Yet the deeper Amina dives, the more it becomes alarmingly clear there’s more to this job, and the girl’s disappearance, than she was led to believe. For there’s always risk in wanting to become a legend, to seize one last chance at glory, to savor just a bit more power…and the price might be your very soul.",43.6,1,0,0,1,0,0,0,0,0,1,0,0,0,1,"Yes"
"310",388,"https://app.thestorygraph.com/books/a306d18c-37ff-4048-91c7-3e28b5cc35c4","The Cousins","Karen M. McManus","","9.78E+12","hardcover","read","10/6/2023","10/7/2023","2023/10/05-2023/10/07",1,"emotional, mysterious, tense","medium","A mix","No","No","No","Yes",2.5,"","",NA,NA,"Yes","From the #1 New York Times bestselling author of One of Us Is Lying comes your next obsession. You\'ll never feel the same about family again. Milly, Aubrey, and Jonah Story are cousins, but they barely know each another, and they\'ve never even met their grandmother. Rich and reclusive, she disinherited their parents before they were born. So when they each receive a letter inviting them to work at her island resort for the summer, they\'re surprised . . . and curious. Their parents are all clear on one point--not going is not an option. This could be the opportunity to get back into Grandmother\'s good graces. But when the cousins arrive on the island, it\'s immediately clear that she has different plans for them. And the longer they stay, the more they realize how mysterious--and dark--their family\'s past is. The entire Story family has secrets. Whatever pulled them apart years ago isn\'t over--and this summer, the cousins will learn everything.",65.32,0,0,0,1,0,0,0,0,0,1,0,0,0,1,"No"
"72",95,"https://app.thestorygraph.com/books/2aeb4518-97ab-43ee-95c3-cab0edf10484","Revelle","Lyssa Mia Smith","","9.78E+12","hardcover","read","2/17/2023","2/17/2023","2023/02/16-2023/02/17",1,"adventurous, emotional, mysterious, tense","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","Inspired by Moulin Rouge! and set on an island in a magical version of Prohibition-era New York, Revelle is a breathtaking YA stand-alone fantasy full of dazzling magic, romance, and mystery from debut author Lyssa Mia Smith.On the island of Charmant, magic flows like bootlegged champagne, and fantasies can be bought for the price of a gemstone.Luxe Revelle, star of her family’s fantastical show, knows the splendor is just an illusion. With Prohibition threatening their livelihood, her family struggles to make a living, watering down champagne and patching holes in their sequined costumes. So when the son of Charmant’s wealthiest family makes her an offer—everything the Revelles need to stay in business, in exchange for posing as his girl and helping him become mayor—she can’t refuse.The moment Jamison Port sets foot in Charmant, he can’t shake the feeling of familiarity. An orphan with as few memories as gemstones, he’s desperate to learn what happened to his parents. But as he delves into the island’s secrets, he risks angering the wrong person and discovering a truth that just might break his heart.When Luxe and Jamison accidentally meet, the sparks that fly are more than her magical enchantments. But keeping secrets from powerful people is a dangerous game . . . one that could destroy them both.",44.11,1,0,0,1,0,0,0,0,0,1,0,0,0,1,"Yes"
"344",430,"https://app.thestorygraph.com/books/b0bb6ef3-e33b-4402-a4e3-b74732a3be08","The Buried and the Bound","Rochelle Hassan","","9.78E+12","hardcover","read","3/29/2023","3/30/2023","2023/03/29-2023/03/30",1,"adventurous, mysterious","medium","A mix","Yes","Yes","Yes","Yes",3.5,"","",NA,NA,"Yes","A contemporary fantasy YA debut from Rochelle Hassan about monsters, magic, and wicked fae, perfect for fans of The Darkest Part of the Forest and The Hazel Wood.As the only hedgewitch in Blackthorn, Massachusetts—an uncommonly magical place—Aziza El-Amin has bargained with wood nymphs, rescued palm-sized fairies from house cats, banished flesh-eating shadows from the local park. But when a dark entity awakens in the forest outside of town, eroding the invisible boundary between the human world and fairyland, run-of-the-mill fae mischief turns into outright aggression, and the danger—to herself and others—becomes too great for her to handle alone.Leo Merritt is no stranger to magical catastrophes. On his sixteenth birthday, a dormant curse kicked in and ripped away all his memories of his true love. A miserable year has passed since then. He\'s road-tripped up and down the East Coast looking for a way to get his memories back and hit one dead end after another. He doesn\'t even know his true love\'s name, but he feels the absence in his life, and it\'s haunting.Desperate for answers, he makes a pact with Aziza: he’ll provide much-needed backup on her nightly patrols, and in exchange, she’ll help him break the curse.When the creature in the woods sets its sights on them, their survival depends on the aid of a mysterious young necromancer they’re not certain they can trust. But they’ll have to work together to eradicate the new threat and take back their hometown... even if it forces them to uncover deeply buried secrets and make devastating sacrifices.&nbsp;",51.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"No"
"37",49,"https://app.thestorygraph.com/books/165c22cd-7cd8-458b-b992-a630b3d457ce","The Inheritance of Orquídea Divina","Zoraida Córdova","","9.78E+12","hardcover","read","6/2/2022","6/2/2022","2022/06/01-2022/06/02",1,"adventurous, mysterious, reflective, tense","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","Perfect for fans of Alice Hoffman, Isabel Allende, and Sarah Addison Allen, this is a gorgeously written novel about a family searching for the truth hidden in their past and the power they’ve inherited, from the author of the acclaimed and “giddily exciting” (The New York Times Book Review) Brooklyn Brujas series.The Montoyas are used to a life without explanations. They know better than to ask why the pantry never seems to run low or empty, or why their matriarch won’t ever leave their home in Four Rivers—even for graduations, weddings, or baptisms. But when Orquídea Divina invites them to her funeral and to collect their inheritance, they hope to learn the secrets that she has held onto so tightly their whole lives. Instead, Orquídea is transformed, leaving them with more questions than answers.Seven years later, her gifts have manifested in different ways for Marimar, Rey, and Tatinelly’s daughter, Rhiannon, granting them unexpected blessings. But soon, a hidden figure begins to tear through their family tree, picking them off one by one as it seeks to destroy Orquídea’s line. Determined to save what’s left of their family and uncover the truth behind their inheritance, the four descendants travel to Ecuador—to the place where Orquídea buried her secrets and broken promises and never looked backed.Alternating between Orquídea’s past and her descendants’ present, The Inheritance of Orquídea Divina is an enchanting novel about what we knowingly and unknowingly inherit from our ancestors, the ties that bind, and reclaiming your power.",38.02,1,0,0,0,0,0,0,0,0,1,1,0,0,1,"Yes"
"120",151,"https://app.thestorygraph.com/books/45b6f077-38d9-45fa-a09b-d31d9ef9314b","Wings of Ebony","J. Elle","","9.78E+12","hardcover","read","7/27/2022","7/28/2022","2022/07/26-2022/07/28",1,"adventurous, challenging, tense","medium","A mix","Yes","Yes","Yes","Yes",4.5,"","",NA,NA,"No","In this riveting, keenly emotional debut fantasy, a Black teen from Houston has her world upended when she learns about her godly ancestry and must save both the human and god worlds. Perfect for fans of Angie Thomas, Tomi Adeyemi, and The Hunger Games  \""""Make a way out of no way\"""" is just the way of life for Rue. But when her mother is shot dead on her doorstep, life for her and her younger sister changes forever. Rue\'s taken from her neighborhood by the father she never knew, forced to leave her little sister behind, and whisked away to Ghizon--a hidden island of magic wielders. Rue is the only half-god, half-human there, where leaders protect their magical powers at all costs and thrive on human suffering. Miserable and desperate to see her sister on the anniversary of their mother\'s death, Rue breaks Ghizon\'s sacred Do Not Leave Law and returns to Houston, only to discover that Black kids are being forced into crime and violence. And her sister, Tasha, is in danger of falling sway to the very forces that claimed their mother\'s life. Worse still, evidence mounts that the evil plaguing East Row is the same one that lurks in Ghizon--an evil that will stop at nothing until it has stolen everything from her and everyone she loves. Rue must embrace her true identity and wield the full magnitude of her ancestors\' power to save her neighborhood before the gods burn it to the ground.",60.58,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"Yes"
"100",128,"https://app.thestorygraph.com/books/3a80ed5e-f331-4940-b446-2f12880e8a68","What Happened to Ruthy Ramirez","Claire Jiménez","","9.78E+12","hardcover","read","12/27/2023","1/24/2024","2024/01/22-2024/01/24",1,"emotional, funny, reflective, sad","medium","Character","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","A deeply powerful, raw debut novel that\'s \""""equal measures hilarious and haunting\"""" (Crystal Hana Kim), of a Puerto Rican family in Staten Island who discovers their long‑missing sister is potentially alive and cast on a reality TV show, and they set out to bring her home.The Ramirez women of Staten Island orbit around absence. When thirteen‑year‑old middle child Ruthy disappeared after track practice without a trace, it left the family scarred and scrambling. One night, twelve years later, oldest sister Jessica spots a woman on her TV screen in Catfight, a raunchy reality show. She rushes to tell her younger sister, Nina: This woman\'s hair is dyed red, and she calls herself Ruby, but the beauty mark under her left eye is instantly recognizable. Could it be Ruthy, after all this time?The years since Ruthy\'s disappearance haven\'t been easy on the Ramirez family. It’s 2008, and their mother, Dolores, still struggles with the loss, Jessica juggles a newborn baby with her hospital job, and Nina, after four successful years at college, has returned home to medical school rejections and is forced to work in the mall folding tiny bedazzled thongs at the lingerie store.After seeing maybe‑Ruthy on their screen, Jessica and Nina hatch a plan to drive to where the show is filmed in search of their long‑lost sister. When Dolores catches wind of their scheme, she insists on joining, along with her pot-stirring holy roller best friend, Irene. What follows is a family road trip and reckoning that will force the Ramirez women to finally face the past and look toward a future—with or without Ruthy in it.What Happened to Ruthy Ramirez is a vivid family portrait, in all its shattered reality, exploring the familial bonds between women and cycles of generational violence, colonialism, race, and silence, replete with snark, resentment, tenderness, and, of course, love.&nbsp;",40.96,0,0,0,1,1,0,0,0,0,0,1,0,1,0,"Yes"
"206",257,"https://app.thestorygraph.com/books/6f0c4e7f-6027-4642-8d95-6f04c9a1cb1d","Bunny","Mona Awad","","9.78E+12","paperback","read","8/28/2023","8/30/2023","2023/08/28-2023/08/30",1,"dark, mysterious, tense","medium","Character","Yes","It's complicated","It's complicated","Yes",3.5,"","",NA,NA,"Yes","Samantha Heather Mackey couldn’t be more of an outsider in her small, highly selective MFA program at New England’s Warren University. A scholarship student who prefers the company of her dark imagination to that of most people, she is utterly repelled by the rest of her fiction writing cohort–a clique of unbearably twee rich girls who call each other “Bunny,” and seem to move and speak as one.But everything changes when Samantha receives an invitation to the Bunnies’ fabled “Smut Salon,” and finds herself inexplicably drawn to their front door–ditching her only friend, Ava, in the process. As Samantha plunges deeper and deeper into the Bunnies’ sinister yet saccharine world, beginning to take part in the ritualistic off-campus “Workshop” where they conjure their monstrous creations, the edges of reality begin to blur. Soon, her friendships with Ava and the Bunnies will be brought into deadly collision.&nbsp;The spellbinding new novel from one of our most fearless chroniclers of the female experience, Bunny is a down-the-rabbit-hole tale of loneliness and belonging, friendship and desire, and the fantastic and terrible power of the imagination.",25.5,0,0,1,0,0,0,0,0,0,1,0,0,0,1,"No"
"129",163,"https://app.thestorygraph.com/books/4a4f2083-74f7-4042-9b90-c10435fade42","Sailor Moon 2 (Naoko Takeuchi Collection)","Naoko Takeuchi","","9.78E+12","paperback","read","2/18/2023","2/18/2023","2023/02/17-2023/02/18",1,"adventurous, lighthearted","medium","A mix","Yes","Yes","N/A","Yes",4,"","",NA,NA,"Yes","A new edition of the Sailor Moon manga, for a new generation of fans  Featuring the updated translation and high page count of the Sailor Moon Eternal Edition in a more affordable, portable edition, perfect to go wherever you or the magical guardian in your life want to take it. Teenager Usagi is not the best athlete, she\'s never gotten good grades, and, well, she\'s a bit of a crybaby. But when she meets a talking cat, she begins a journey that will teach her she has a well of great strength just beneath the surface and the heart to inspire and stand up for her friends as Sailor Moon  The original Sailor Moon in a new, affordable edition.",48.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"Yes"
"125",158,"https://app.thestorygraph.com/books/490ffda6-fd7c-4cd3-bd40-703fd7d0d2eb","The Reunion","Kayla Olson","","9.78E+12","paperback","read","1/7/2024","1/7/2024","2024/01/06-2024/01/07",1,"emotional, funny, lighthearted","medium","Character","Yes","Yes","No","Yes",3.75,"","",NA,NA,"No","When two former teen stars reconnect at the reunion for their hit TV show, they discover their feelings for one another were not merely scripted in this charming and heartwarming novel perfect for fans of Christina Lauren and Sally Thorne.Liv Latimer grew up on TV.As the star of the popular teen drama Girl on the Verge, Liv spent her adolescence on the screen trying to be as picture perfect as her character in real life. But after the death of her father and the betrayal of her on-screen love interest and off-screen best friend Ransom Joel, Liv wanted nothing more than to retreat, living a mostly normal life aside from a few indie film roles. But now, twenty years after the show’s premiere, the cast is invited back for a reunion special, financed by a major streaming service.Liv is happy to be back on set, especially once she discovers Ransom has only improved with age. And their chemistry is certainly still intact. They quickly fall into their old rhythms, rediscovering what had drawn them together decades before. But with new rivalries among the cast emerging and the specter of a reboot shadowing their shoot, Liv questions whether returning to the past is what she needs to finally get her own happy ending.",44.11,0,0,0,1,1,0,0,0,1,0,0,0,0,0,"Yes"
"57",78,"https://app.thestorygraph.com/books/2683beb4-5a82-4edc-9f24-3582f42a16d0","Wolfwood","Marianna Baer","","9.78E+12","hardcover","read","5/9/2023","5/9/2023","2023/05/08-2023/05/09",1,"challenging, dark, emotional, mysterious, reflective","medium","A mix","Yes","Yes","Yes","Yes",5,"","",NA,NA,"No","Indigo and her mother, once-famous artist Zoe Serra, have barely been scraping by since her mom’s breakdown. When a gallery offers Zoe a revival show for her unfinished blockbuster series, Wolfwood, Indigo knows it’s a crucial chance to finally regain stability. Zoe, however, mysteriously refuses. Desperate not to lose the opportunity, Indigo secretly takes up the brush herself.&nbsp;It turns out, there might be a very good reason her mother wants nothing to do with Wolfwood. Painting submerges Indigo into Wolfwood itself—a dangerous jungle where an army of grotesque, monstrous flora is in a violent battle with a band of girls. As Indigo enters Wolfwood again and again, the line between fantasy and reality blurs. It’s a tenuous balancing act: keeping her forgery secret and her mind lucid, all while fighting her attraction to Kai, the son of the gallery owner.&nbsp;And by the time Indigo realizes the true nature of the monsters she’s up against, it might be too late—and the monsters might just win.&nbsp;&nbsp;",47.72,0,1,1,1,0,0,0,0,0,1,1,0,0,0,"Yes"
"3",5,"https://app.thestorygraph.com/books/01d58abd-c11d-4264-b0b6-96dfc34f51aa","Ariadne","Jennifer Saint","","9.78E+12","hardcover","read","12/6/2022","12/12/2022","2022/12/10-2022/12/12",1,"dark, emotional, sad, tense","medium","Character","It's complicated","Yes","No","N/A",4,"","",NA,NA,"Yes","A mesmerizing debut novel for fans of Madeline Miller\'s Circe.&nbsp;Ariadne, Princess of Crete, grows up greeting the dawn from her beautiful dancing floor and listening to her nursemaid\'s stories of gods and heroes. But beneath her golden palace echo the ever-present hoofbeats of her brother, the Minotaur, a monster who demands blood sacrifice.When Theseus, the Prince of Athens, arrives to vanquish the beast, Ariadne sees in his green eyes not a threat but an escape. Defying the gods, betraying her family and country, and risking everything for love, Ariadne helps Theseus kill the Minotaur. But will Ariadne\'s decision ensure her happy ending? And what of Phaedra, the beloved younger sister she leaves behind?Hypnotic, propulsive, and utterly transporting, Jennifer Saint\'s Ariadne forges a new epic, one that puts the forgotten women of Greek mythology back at the heart of the story, as they strive for a better world.",50.09,0,0,1,1,0,0,0,0,0,0,0,0,1,1,"Yes"
"447",558,"https://app.thestorygraph.com/books/e8719274-bbf7-4250-a416-dc449983ce26","So This Is Ever After","F.T. Lukens","","9.78E+12","digital","read","8/11/2022","8/11/2022","2022/08/10-2022/08/11",1,"adventurous, emotional, funny, lighthearted","medium","A mix","Yes","Yes","Yes","Yes",5,"","",NA,NA,"Yes","Carry On meets Arthurian legend in this funny, subversive young adult fantasy about what happens after the chosen one wins the kingdom and has to get married to keep it…and to stay alive.&nbsp;Arek hadn’t thought much about what would happen after he completed the prophecy that said he was destined to save the Kingdom of Ere from its evil ruler. So now that he’s finally managed to (somewhat clumsily) behead the evil king (turns out magical swords yanked from bogs don’t come pre-sharpened), he and his rag-tag group of quest companions are at a bit of a loss for what to do next.&nbsp;&nbsp;As a temporary safeguard, Arek’s best friend and mage, Matt, convinces him to assume the throne until the true heir can be rescued from her tower. Except that she’s dead. Now Arek is stuck as king, a role that comes with a magical catch: choose a spouse by your eighteenth birthday, or wither away into nothing.&nbsp;With his eighteenth birthday only three months away, and only Matt in on the secret, Arek embarks on a desperate bid to find a spouse to save his life—starting with his quest companions. But his attempts at wooing his friends go painfully and hilariously wrong…until he discovers that love might have been in front of him all along.",44.75,1,0,0,1,1,0,0,0,1,0,0,0,0,0,"Yes"
"35",44,"https://app.thestorygraph.com/books/67d0b7ee-462b-4ca8-9910-884ed588674e","The School for Good Mothers","Jessamine Chan","","9.78E+12","paperback","read","9/4/2023","9/7/2023","2023/09/04-2023/09/07",1,"challenging, dark, emotional, sad","medium","Character","It's complicated","Yes","Yes","Yes",5,"","",NA,NA,"Yes","In this taut and explosive debut novel, one lapse in judgement lands a young mother in a government reform program where custody of her child hangs in the balance.&nbsp;Frida Liu is struggling. She doesn’t have a career worthy of her Chinese immigrant parents’ sacrifices. She can’t persuade her husband, Gust, to give up his wellness-obsessed younger mistress. Only with Harriet, their cherubic daughter, does Frida finally attain the perfection expected of her. Harriet may be all she has, but she is just enough.&nbsp;Until Frida has a very bad day.&nbsp;The state has its eyes on mothers like Frida. The ones who check their phones, letting their children get injured on the playground; who let their children walk home alone. Because of one moment of poor judgment, a host of government officials will now determine if Frida is a candidate for a Big Brother-like institution that measures the success or failure of a mother’s devotion.&nbsp;Faced with the possibility of losing Harriet, Frida must prove that a bad mother can be redeemed. That she can learn to be good.&nbsp;A searing page-turner that is also a transgressive novel of ideas about the perils of “perfect” upper-middle class parenting; the violence enacted upon women by both the state and, at times, one another; the systems that separate families; and the boundlessness of love, The School for Good Mothers introduces, in Frida, an everywoman for the ages. Using dark wit to explore the pains and joys of the deepest ties that bind us, Chan has written a modern literary classic.",51.31,0,1,1,1,0,0,0,0,0,0,0,0,1,0,"Yes"
"285",356,"https://app.thestorygraph.com/books/9626727d-7d01-4795-aea3-ca08e8f68dac","Mad Honey","Jennifer Finney Boylan, Jodi Picoult","","9.78E+12","hardcover","read","1/24/2023","1/26/2023","2023/01/25-2023/01/26",1,"challenging, emotional, hopeful, mysterious, reflective, sad, tense","medium","A mix","It's complicated","It's complicated","Yes","Yes",4.75,"","",NA,NA,"No","NEW YORK TIMES BESTSELLER • “Alternatingly heart-pounding and heartbreaking. This collaboration between two best-selling authors seamlessly weaves together Olivia and Lily’s journeys, creating a provocative exploration of the strength that love and acceptance require.”—The Washington Post GOOD MORNING AMERICA BOOK CLUB PICK • PEOPLE’S BOOK OF THE WEEKOlivia McAfee knows what it feels like to start over. Her picture-perfect life—living in Boston, married to a brilliant cardiothoracic surgeon, raising their beautiful son, Asher—was upended when her husband revealed a darker side. She never imagined that she would end up back in her sleepy New Hampshire hometown, living in the house she grew up in and taking over her father’s beekeeping business. Lily Campanello is familiar with do-overs, too. When she and her mom relocate to Adams, New Hampshire, for her final year of high school, they both hope it will be a fresh start.  And for just a short while, these new beginnings are exactly what Olivia and Lily need. Their paths cross when Asher falls for the new girl in school, and Lily can’t help but fall for him, too. With Ash, she feels happy for the first time. Yet at times, she wonders if she can trust him completely. . . . Then one day, Olivia receives a phone call: Lily is dead, and Asher is being questioned by the police. Olivia is adamant that her son is innocent. But she would be lying if she didn’t acknowledge the flashes of his father’s temper in Ash, and as the case against him unfolds, she realizes he’s hidden more than he’s shared with her. Mad Honey is a riveting novel of suspense, an unforgettable love story, and a moving and powerful exploration of the secrets we keep and the risks we take in order to become ourselves.",65.35,0,1,0,1,0,1,0,0,0,1,1,0,1,1,"Yes"
"176",225,"https://app.thestorygraph.com/books/648a6849-37c4-4034-a2e4-ffed56c714f7","A Darker Shade of Magic","V.E. Schwab","","9.78E+12","paperback","read","8/22/2023","9/13/2023","2023/09/11-2023/09/13",1,"adventurous, dark, emotional, mysterious","medium","A mix","Yes","Yes","Yes","Yes",4,"","",NA,NA,"Yes","Kell is one of the last Antari–magicians with a rare, coveted ability to travel between parallel Londons; Red, Grey, White, and, once upon a time, Black.&nbsp;Kell was raised in Arnes–Red London–and officially serves the Maresh Empire as an ambassador, traveling between the frequent bloody regime changes in White London and the court of George III in the dullest of Londons, the one without any magic left to see.&nbsp;Unofficially, Kell is a smuggler, servicing people willing to pay for even the smallest glimpses of a world they\'ll never see. It\'s a defiant hobby with dangerous consequences, which Kell is now seeing firsthand.After an exchange goes awry, Kell escapes to Grey London and runs into Delilah Bard, a cut-purse with lofty aspirations. She first robs him, then saves him from a deadly enemy, and finally forces Kell to spirit her to another world for a proper adventure.&nbsp;Now perilous magic is afoot, and treachery lurks at every turn. To save all of the worlds, they\'ll first need to stay alive.",37.51,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
"324",404,"https://app.thestorygraph.com/books/a73d1986-8ffc-4c92-a68d-efe3fd73431b","The Collected Regrets of Clover","Mikki Brammer","","9.78E+12","hardcover","read","5/7/2023","5/8/2023","2023/05/06-2023/05/08",1,"dark, emotional","medium","Character","Yes","Yes","No","Yes",3,"","",NA,NA,"Yes","Mikki Brammer\'s The Collected Regrets of Clover is a big-hearted and life-affirming debut about a death doula who, in caring for others at the end of their life, has forgotten how to live her own, for readers of The Midnight Library.What’s the point of giving someone a beautiful death if you can’t give yourself a beautiful life?From the day she watched her kindergarten teacher drop dead during a dramatic telling of Peter Rabbit, Clover Brooks has felt a stronger connection with the dying than she has with the living. After the beloved grandfather who raised her dies alone while she is traveling, Clover becomes a death doula in New York City, dedicating her life to ushering people peacefully through their end-of-life process.Clover spends so much time with the dying that she has no life of her own, until the final wishes of a feisty old woman send Clover on a trip across the country to uncover a forgotten love story––and perhaps, her own happy ending. As she finds herself struggling to navigate the uncharted roads of romance and friendship, Clover is forced to examine what she really wants, and whether she’ll have the courage to go after it.Probing, clever, and hopeful, The Collected Regrets of Clover turns the normally taboo subject of death into a reason to celebrate life.&nbsp;",14.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"No"
"50",69,"https://app.thestorygraph.com/books/24706be7-bfc7-4bd7-b09a-ea9123689833","The Agathas","Liz Lawson, Kathleen Glasgow","","9.78E+12","hardcover","read","6/5/2022","6/5/2022","2022/06/05-2022/06/05",1,"adventurous, mysterious","medium","A mix","It's complicated","It's complicated","No","Yes",4,"","",NA,NA,"Yes","Who killed Brooke Donovan? It’s the biggest mystery of the summer, and everyone in Castle Cove thinks it’s the wrong guy. Fans of One of Us Is Lying and Riverdale can’t miss this page-turning who-done-it that’s sure to be the next must read Young Adult thriller!Last summer, Alice Ogilve’s basketball-star boyfriend Steve dumped her. Then she disappeared for five days. Where she went and what happened to her (because she’s not talking) is the biggest mystery in Castle Cove—or it was, at least. Because now, another one of Steve’s girlfriends has vanished: Brooke Donovan, Alice’s ex–best friend. And this time it doesn’t look like Brooke will be coming back. . .Enter Iris Adams, Alice’s tutor. Iris has her own reasons for wanting to disappear, though unlike Alice, she doesn’t have the money or the means. That could be changed by the hefty reward Brooke’s grandmother is offering to anyone who can share information about her granddaughter’s whereabouts. The police are convinced Steve is the culprit, but Alice isn’t so sure, and with Iris on her side, she just might be able to prove her theory.In order to get the reward and prove Steve’s innocence, they need to figure out who killed Brooke Donovan. And luckily Alice has exactly what they need—the complete works of Agatha Christie. If there’s anyone that can teach the girls how to solve a mystery it’s the master herself. But the town of Castle Cove holds many secrets, and Alice and Iris have no idea how much danger they’re about to walk into.&nbsp;",76.86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,"Yes"
"339",425,"https://app.thestorygraph.com/books/ae20c558-ecff-4258-a8e0-8aa24977398d","True Biz","Sara Nović","","9.78E+12","hardcover","read","4/10/2022","4/15/2022","2022/04/13-2022/04/15",1,"challenging, emotional, hopeful, informative, reflective","medium","A mix","Yes","Yes","Yes","It's complicated",4.5,"","",NA,NA,"Yes","An “electrifying” (Celeste Ng) novel that follows a year of seismic romantic, political, and familial shifts for a teacher and her students at a boarding school for the deaf, from the acclaimed author of Girl at WarTrue biz (adj/exclamation; American Sign Language): really, seriously, definitely, real-talk&nbsp;True biz? The students at the River Valley School for the Deaf just want to hook up, pass their history final, and have doctors, politicians, and their parents stop telling them what to do with their bodies. This revelatory novel plunges readers into the halls of a residential school for the deaf, where they\'ll meet Charlie, a rebellious transfer student who\'s never met another deaf person before; Austin, the school\'s golden boy, whose world is rocked when his baby sister is born hearing; and February, the headmistress, who is fighting to keep her school open and her marriage intact, but might not be able to do both. As a series of crises both personal and political threaten to unravel each of them, Charlie, Austin, and February find their lives inextricable from one another--and changed forever.&nbsp;This is a story of sign language and lip-reading, cochlear implants and civil rights, isolation and injustice, first love and loss, and, above all, great persistence, daring, and joy. Absorbing and assured, idiosyncratic and relatable, this is an unforgettable journey into the Deaf community and a universal celebration of human connection.",24.79,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"Yes"
"219",274,"https://app.thestorygraph.com/books/7598f5fa-4e21-4485-9c73-c557a3b5f044","A Study in Drowning","Ava Reid","","9.78E+12","hardcover","read","10/29/2023","10/30/2023","2023/10/28-2023/10/30",1,"adventurous, dark, emotional, mysterious","medium","A mix","Yes","Yes","No","Yes",4,"","",NA,NA,"Yes","“Achingly atmospheric and beautifully sharp, A Study in Drowning will draw you in from the first page.” —Rory Power, New York Times bestselling author of Wilder GirlsBestselling author Ava Reid makes her YA debut in this dark academic fantasy perfect for fans of Melissa Albert and Elana K. Arnold.Effy Sayre has always believed in fairy tales. Haunted by visions of the Fairy King since childhood, she’s had no choice. Her tattered copy of Angharad—Emrys Myrddin’s epic about a mortal girl who falls in love with the Fairy King, then destroys him—is the only thing keeping her afloat. So when Myrddin’s family announces a contest to redesign the late author’s estate, Effy feels certain it’s her destiny.But musty, decrepit Hiraeth Manor is an impossible task, and its residents are far from welcoming. Including Preston Héloury, a stodgy young literature scholar determined to expose Myrddin as a fraud. As the two rivals piece together clues about Myrddin’s legacy, dark forces, both mortal and magical, conspire against them—and the truth may bring them both to ruin.Part historical fantasy, part rivals-to-lovers romance, part Gothic mystery, and all haunting, dreamlike atmosphere, Ava Reid\'s powerful YA debut will lure in readers who loved The Atlas Six, House of Salt and Sorrows, or Girl, Serpent, Thorn.&nbsp;",49.59,1,0,1,1,0,0,0,0,0,1,0,0,0,0,"Yes"
